                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.3966,                  0.269,                0.88199,                0.99346,                0.99312,                0.99493,                0.94063,                0.41303,                0.25718,                0.87675,              0.0002972,              0.0002972,              0.0002972
                     89,                0.38515,                0.25647,                0.87736,                0.98709,                0.99932,                0.99487,                0.94307,                0.41362,                0.24569,                0.87228,              0.0002774,              0.0002774,              0.0002774
                     90,                0.39575,                0.26626,                0.88744,                0.99295,                0.99346,                0.99493,                0.94093,                0.40251,                 0.2453,                0.86638,              0.0002576,              0.0002576,              0.0002576
                     91,                0.35527,                0.23651,                0.85085,                0.99224,                0.98693,                0.99467,                0.94211,                0.41614,                0.24823,                0.87165,              0.0002378,              0.0002378,              0.0002378
                     92,                0.35452,                 0.2337,                0.83643,                0.99302,                0.98693,                0.99481,                0.94439,                0.39798,                0.24349,                0.86674,               0.000218,               0.000218,               0.000218
                     93,                0.34838,                0.22287,                0.84651,                0.99606,                0.98693,                0.99487,                0.94541,                0.40729,                0.24625,                0.86867,              0.0001982,              0.0001982,              0.0001982
                     94,                0.34517,                0.22003,                 0.8325,                0.99326,                0.98693,                0.99487,                0.94582,                0.40408,                0.24657,                0.87093,              0.0001784,              0.0001784,              0.0001784
                     95,                0.35083,                0.23348,                0.83766,                0.99885,                0.99346,                  0.995,                0.94476,                0.40541,                0.24145,                0.87205,              0.0001586,              0.0001586,              0.0001586
                     96,                0.33751,                0.21631,                0.83058,                      1,                0.99326,                  0.995,                 0.9461,                0.39795,                0.23683,                0.87165,              0.0001388,              0.0001388,              0.0001388
                     97,                0.33195,                0.21937,                0.82962,                0.99265,                0.99346,                0.99493,                0.94448,                0.40188,                0.23596,                0.86829,               0.000119,               0.000119,               0.000119
                     98,                0.32315,                0.20887,                0.82056,                0.99226,                0.99346,                  0.995,                0.94651,                0.39475,                 0.2299,                0.86617,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.32588,                0.21185,                 0.8391,                0.99679,                0.99346,                  0.995,                 0.9478,                0.39295,                0.22595,                0.86625,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.32879,                0.20791,                0.82687,                0.99638,                0.99346,                  0.995,                0.94627,                0.39406,                0.22661,                0.86705,               5.96e-05,               5.96e-05,               5.96e-05
